iter	Passed	Remaining
404	9122	2139
405	9146	2117
406	9166	2094
407	9186	2071
408	9208	2048
409	9228	2025
410	9248	2002
411	9267	1979
412	9287	1956
413	9308	1933
414	9328	1910
415	9350	1888
416	9371	1865
417	9390	1842
418	9410	1819
419	9430	1796
420	9451	1773
421	9470	1750
422	9491	1727
423	9511	1704
424	9534	1682
425	9555	1659
426	9577	1637
427	9597	1614
428	9619	1592
429	9640	1569
430	9661	1546
431	9682	1524
432	9704	1501
433	9724	1478
434	9745	1456
435	9765	1433
436	9786	1410
437	9806	1388
438	9828	1365
439	9852	1343
440	9872	1320
441	9893	1298
442	9913	1275
443	9934	1253
444	9954	1230
445	9976	1207
446	9999	1185
447	10022	1163
448	10044	1140
449	10066	1118
450	10087	1096
451	10110	1073
452	10134	1051
453	10156	1029
454	10179	1006
455	10200	984
456	10222	961
457	10246	939
458	10267	917
459	10289	894
460	10311	872
461	10333	849
462	10354	827
463	10376	805
464	10398	782
465	10418	760
466	10440	737
467	10461	715
468	10482	692
469	10503	670
470	10526	648
471	10545	625
472	10564	603
473	10584	580
474	10605	558
475	10626	535
476	10646	513
477	10676	491
478	10696	468
479	10716	446
480	10736	424
481	10758	401
482	10780	379
483	10802	357
484	10823	334
485	10843	312
486	10866	290
487	10888	267
488	10920	245
489	10945	223
490	10972	201
491	11002	178
492	11030	156
493	11058	134
494	11086	111
495	11111	89
496	11139	67
497	11164	44
498	11190	22
499	11217	0
