iter	MultiClass
348	0.3230440094
349	0.3224908659
350	0.3216389935
351	0.3206592527
352	0.3197495451
353	0.3193076677
354	0.3185738924
355	0.3181356006
356	0.317751533
357	0.31700696
358	0.3160422374
359	0.3153003622
360	0.3144951583
361	0.3137026866
362	0.3129988164
363	0.312258224
364	0.3116927976
365	0.3111674303
366	0.3108622584
367	0.3099792176
368	0.3090074455
369	0.3086514463
370	0.3081711747
371	0.3076135748
372	0.3072939415
373	0.3069920647
374	0.3063645786
375	0.3054142446
376	0.3050417108
377	0.3043981931
378	0.3040106326
379	0.3033704714
380	0.3028758236
381	0.3020846185
382	0.3014885671
383	0.3009675723
384	0.3000353828
385	0.2994673478
386	0.2989319089
387	0.2986698637
388	0.297761416
389	0.2974113162
390	0.2965346767
391	0.2956153416
392	0.2951467935
393	0.2944031164
394	0.2940104399
395	0.293582709
396	0.2929103377
397	0.2924245952
398	0.291890615
399	0.2912057566
400	0.2907988089
401	0.2898449279
402	0.2891197781
403	0.2884720556
404	0.287779226
405	0.287470498
406	0.2867717404
407	0.2860052217
408	0.2852836987
409	0.2844676288
410	0.2840101315
411	0.2835495945
412	0.283070833
413	0.2824759083
414	0.2819167951
415	0.2814994936
416	0.2808030828
417	0.2803631135
418	0.2796081021
419	0.2790978411
420	0.2784020094
421	0.2778270834
422	0.2770108594
423	0.2761969503
424	0.2757745761
425	0.2751969268
426	0.2747637931
427	0.2742865837
428	0.2737280939
429	0.2731840451
430	0.2725225365
431	0.2718786939
432	0.2714959182
433	0.271142468
434	0.2701734816
435	0.2696126456
436	0.2692709234
437	0.2687283808
438	0.268006224
439	0.2674962251
440	0.2669480918
441	0.2666208337
442	0.266149961
443	0.2655650809
444	0.2650976413
445	0.2646567398
446	0.2640239483
447	0.2637626225
448	0.2633063022
449	0.2626747608
450	0.2623446064
451	0.2616279003
452	0.2609913858
453	0.2605344604
454	0.2601259111
455	0.2598454619
456	0.259254042
457	0.2587960417
458	0.2581592529
459	0.2575588318
460	0.2568839279
461	0.2566383832
462	0.2563810263
463	0.2560307373
464	0.2555560527
465	0.2551781916
466	0.254820195
467	0.2544052943
468	0.2537611234
469	0.2532621682
470	0.2529050773
471	0.2524951585
472	0.2520999043
473	0.2516135859
474	0.2512230123
475	0.2508786809
476	0.2503958553
477	0.2499064483
478	0.2494033916
479	0.2490533408
480	0.248746232
481	0.2484479689
482	0.2479281201
483	0.2474275004
484	0.246912358
485	0.2464910412
486	0.2461165993
487	0.2456799784
488	0.2454119105
489	0.2451036091
490	0.2447836422
491	0.2443718341
492	0.2438254238
493	0.2434730246
494	0.2431715445
495	0.2427790446
496	0.2423883229
497	0.2421159954
498	0.2417255346
499	0.241088677
