iter	MultiClass
0	1.06164208
1	1.026037385
2	0.998931212
3	0.97698893
4	0.9632979115
5	0.9460996613
6	0.9303461869
7	0.9186950835
8	0.9083168308
9	0.9008113271
10	0.8933999779
11	0.88593439
12	0.8781771449
13	0.8731374506
14	0.8669744532
15	0.861589444
16	0.8559143322
17	0.8527199104
18	0.847810338
19	0.8439904167
20	0.8410538153
21	0.8382271335
22	0.8348559658
23	0.8310626489
24	0.8277640104
25	0.8230017972
26	0.8191116197
27	0.8166028845
28	0.8130416209
29	0.810449094
30	0.8076101975
31	0.8044689335
32	0.8011577209
33	0.7987546592
34	0.7957076392
35	0.7924878235
36	0.7871626287
37	0.7848664791
38	0.781711594
39	0.7782363714
40	0.7743697946
41	0.7715188542
42	0.7693214214
43	0.7677351579
44	0.7640918649
45	0.7613593742
46	0.7586223006
47	0.7565470094
48	0.753552596
49	0.7517570003
50	0.7491841424
51	0.7442956066
52	0.7421675967
53	0.7398908815
54	0.7363499917
55	0.7349624256
56	0.7329241013
57	0.7299321305
58	0.7259899195
59	0.722497204
60	0.7202717956
61	0.7182614995
62	0.7148764575
63	0.7116418851
64	0.7089853344
65	0.7066850823
66	0.7037522578
67	0.699083782
68	0.6968355211
69	0.6949466527
70	0.690761911
71	0.6883867542
72	0.686325294
73	0.6833948044
74	0.6812580742
75	0.6796082881
76	0.6768786405
77	0.673780645
78	0.6696305238
79	0.6680839445
80	0.665301009
81	0.6628931236
82	0.6593388008
83	0.6563064326
84	0.654713816
85	0.6526574071
86	0.6496803706
87	0.6483869802
88	0.6461343304
89	0.6438442625
90	0.6414931435
91	0.6397579713
92	0.6375566312
93	0.6360444095
94	0.6341249818
95	0.6321360481
96	0.6293082544
97	0.6272614487
98	0.6248197083
99	0.6228310733
100	0.6207131083
101	0.6190758854
102	0.6171193355
103	0.6148644951
104	0.6130123942
105	0.610506549
106	0.6087080394
107	0.6061926048
108	0.6045445552
109	0.6021654882
110	0.5996163496
111	0.5968761066
112	0.5955958242
113	0.5927955541
114	0.5900393405
115	0.5881344594
116	0.5850379251
117	0.5828509874
118	0.5811842368
119	0.5785665357
120	0.5769841678
121	0.5750839588
122	0.5730298273
123	0.5712235319
124	0.568479823
125	0.5669395919
126	0.5648812927
127	0.5632562567
128	0.5616961962
129	0.5603656493
130	0.5583597985
131	0.5558149132
132	0.5535330864
133	0.5509841407
134	0.549705736
135	0.5472228771
136	0.5460838134
137	0.5443513995
138	0.5425332203
139	0.5407922081
140	0.5396073635
141	0.5373849459
142	0.535722477
143	0.5339943476
144	0.532450656
145	0.5315650149
146	0.5298551281
147	0.5284405625
148	0.5261905494
149	0.5247511068
150	0.523539501
151	0.5222370304
152	0.5208732319
153	0.5196062433
154	0.518796878
155	0.5175890675
156	0.516438508
157	0.5151188754
158	0.513953212
159	0.5131146791
160	0.5120212097
161	0.5105843527
162	0.5097369565
163	0.5083682615
164	0.5067696731
165	0.5048949097
166	0.5030855985
167	0.5017679795
168	0.5002430439
169	0.4984094733
170	0.49660559
171	0.4952012397
172	0.4941810427
173	0.4921041537
174	0.4911041385
175	0.4899671522
176	0.4885923545
177	0.4873668957
178	0.4859821958
179	0.4841795176
180	0.4828173879
181	0.4815191446
182	0.4799114322
183	0.478743331
184	0.4776534821
185	0.4767492694
186	0.4752354932
187	0.4740327794
188	0.4727117457
189	0.4712656877
190	0.4703954284
191	0.4688596461
192	0.4672227757
193	0.4662150345
194	0.4638983396
195	0.4628127781
196	0.4615492622
197	0.4609339707
198	0.4598079484
199	0.459090701
200	0.4582637548
201	0.4569945578
202	0.4551108612
203	0.453699273
204	0.4517821784
205	0.4509420205
206	0.4493699466
207	0.4482808712
208	0.4470192379
209	0.4457231732
210	0.4447268994
211	0.4438432116
212	0.442598193
213	0.4416312269
214	0.4406726256
215	0.4396791095
216	0.4385877437
217	0.4378075938
218	0.4370115708
219	0.4355954011
220	0.4348671452
221	0.4338968563
222	0.432807509
223	0.4313971317
224	0.4306206797
225	0.4289786816
226	0.4269807306
227	0.4262539936
228	0.4253068655
229	0.4244196955
230	0.4236184156
231	0.4222869699
232	0.4210057324
233	0.4199280341
234	0.4187581616
235	0.4176703043
236	0.4168713023
237	0.4158573871
238	0.4144823468
239	0.4130219721
240	0.4120436907
241	0.4109183521
242	0.4101078755
243	0.4089328306
244	0.4078048689
245	0.4068569589
246	0.4060334779
247	0.4048193411
248	0.403999214
249	0.4032196157
250	0.4021659602
251	0.4013817712
252	0.4006023369
253	0.3999456905
254	0.3993010635
255	0.3980950516
256	0.3970962997
257	0.395948218
258	0.3949149985
259	0.3937293698
260	0.3929382598
261	0.3921702928
262	0.3909577699
263	0.3903143162
264	0.3894350535
265	0.3881965628
266	0.3872390191
267	0.3865858964
268	0.3856694028
269	0.3846553879
270	0.3836045635
271	0.3829142536
272	0.3821000384
273	0.3814358354
274	0.3802965865
275	0.3794172974
276	0.3787531375
277	0.3778820043
278	0.3765049847
279	0.3757673552
280	0.3749167167
281	0.3739895921
282	0.3729150735
283	0.3712207567
284	0.370148644
285	0.3690504641
286	0.3680764293
287	0.3672355606
288	0.3665760614
289	0.3655021691
290	0.3645702025
291	0.3633868135
292	0.3625733764
293	0.3616777939
294	0.3610096482
295	0.3604140961
296	0.3598514657
297	0.3588907299
298	0.3581713656
299	0.3574738142
300	0.3565256912
301	0.3558707382
302	0.3546100168
303	0.3538662663
304	0.3532127932
305	0.3526649661
306	0.3514633533
307	0.3509509353
308	0.3503570975
309	0.3498697762
310	0.3491554095
311	0.3486920577
312	0.3476599628
313	0.347036569
314	0.346632478
315	0.3454465268
316	0.3447089164
317	0.3440988932
318	0.3434629818
319	0.3429238244
320	0.3414621816
321	0.340762295
322	0.3401546957
323	0.3395528322
324	0.3385736183
325	0.3378209361
326	0.3372246688
327	0.3364529918
328	0.3360492524
329	0.3354314288
330	0.3342767119
331	0.3336127601
332	0.3329749371
333	0.3323420436
334	0.3318786237
335	0.3314327661
336	0.3305818161
337	0.3299151339
338	0.3291835766
339	0.3287487892
340	0.3281371054
341	0.3273249945
342	0.3265565032
343	0.3259245305
344	0.3251833335
345	0.3248369022
346	0.3243929587
347	0.3237343167
